id,condition,activitymirror_PSA1,activitymirror_PSA2,activitymirror_PSA3,activitymirror_PSA4,activityreflect_PSA1,activityreflect_PSA2,activityreflect_PSA3,activityreflect_PSA4,activitysee_PSA1,activitysee_PSA2,activitysee_PSA3,activitysee_PSA4,believe_PSA1,believe_PSA2,believe_PSA3,believe_PSA4,cred_PSA1,cred_PSA2,cred_PSA3,cred_PSA4,imp_PSA1,imp_PSA2,imp_PSA3,imp_PSA4,modelmirror_PSA1,modelmirror_PSA2,modelmirror_PSA3,modelmirror_PSA4,modelreflect_PSA1,modelreflect_PSA2,modelreflect_PSA3,modelreflect_PSA4,modelsee_PSA1,modelsee_PSA2,modelsee_PSA3,modelsee_PSA4,muchlikeme_PSA1,muchlikeme_PSA2,muchlikeme_PSA3,muchlikeme_PSA4,new_PSA1,new_PSA2,new_PSA3,new_PSA4,peoplesimilar_PSA1,peoplesimilar_PSA2,peoplesimilar_PSA3,peoplesimilar_PSA4,recommend_PSA1,recommend_PSA2,recommend_PSA3,recommend_PSA4,think_PSA1,think_PSA2,think_PSA3,think_PSA4,unconv_PSA1,unconv_PSA2,unconv_PSA3,unconv_PSA4
P039,sports,4,4,4,4,4,4,4,5,4,4,4,5,4,4,5,5,5,2,5,4,4,2,4,4,2,2,2,2,3,1,2,2,3,2,3,2,2,1,3,3,3,4,5,4,3,2,4,3,1,3,1,1,3,3,4,4,2,4,1,1
P040,vape,2,2,2,2,2,2,2,3,2,2,3,2,4,4,5,5,4,4,4,4,5,4,5,4,1,1,1,1,2,2,2,2,1,1,3,2,3,2,3,4,4,4,2,4,3,2,2,4,1,2,1,2,5,5,5,4,1,1,1,2
P041,smoke,2,2,1,2,3,2,1,2,3,2,1,2,5,4,1,3,5,4,1,3,5,5,3,5,1,2,1,2,2,2,1,1,2,2,1,2,2,2,3,3,1,2,1,2,3,4,4,2,2,2,3,2,4,4,2,4,2,2,5,4
P042,smoke,3,3,3,1,2,3,3,2,2,1,2,1,5,3,5,4,5,2,4,4,4,4,4,5,3,2,2,1,1,2,3,1,1,1,2,1,2,3,3,3,5,5,5,4,2,2,2,2,1,3,2,1,5,5,5,5,2,3,2,2
P043,vape,1,1,1,1,1,1,1,1,1,2,1,1,2,2,4,4,3,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,5,4,5,4,3,3,3,3,3,3,2,3,4,1,4,1,5,4,2,5
P044,smoke,2,1,4,3,2,1,4,4,1,1,4,3,4,5,4,5,4,4,4,4,3,5,4,4,1,1,2,2,1,1,2,4,1,1,3,2,2,1,4,4,2,2,2,2,2,1,4,5,3,2,1,1,2,2,4,4,2,3,2,3
P045,smoke,2,2,2,2,2,2,2,2,2,2,2,3,4,4,3,4,4,4,3,5,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,2,2,2,2,2,1,1,1,3,3,4,4,4,3,4,3
P046,sports,3,3,2,3,3,3,3,3,3,2,1,4,4,5,5,5,4,5,4,5,3,4,4,3,2,2,2,3,3,3,2,4,3,2,2,3,3,3,3,4,4,5,4,3,4,3,2,4,2,1,3,2,3,4,3,4,2,1,1,1
P048,novape,1,1,2,1,1,1,2,1,1,1,3,1,4,5,5,3,4,4,5,3,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,4,1,4,4,4,4,4,3,3,3,3,1,1,1,1,2,1,1,4
P049,sports,4,3,4,4,4,3,4,4,3,3,4,3,4,5,4,5,5,4,3,5,4,5,4,5,4,3,4,4,3,3,3,4,3,2,4,2,2,2,3,4,1,2,3,3,2,4,3,4,1,1,3,1,4,4,4,4,2,2,3,2
P050,smoke,2,2,4,2,2,2,4,4,2,3,5,2,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,2,3,5,2,2,2,5,3,2,2,3,4,2,4,2,2,2,2,4,4,2,2,1,1,2,4,4,4,2,3,2,2
P051,smoke,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,3,3,3,2,2,1,1,4,5,5,5
P052,novape,2,2,2,2,2,4,2,2,2,4,2,2,2,4,4,1,2,4,4,2,2,3,3,2,2,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,3,3,3,3,2,2,2,2,4,2,3,5
P053,novape,1,1,1,1,1,2,2,2,2,1,2,1,3,4,4,4,3,4,3,3,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,2,4,2,2,2,2,1,1,2,2,3,3,3,4,3,3,3,3,3,4,3
P054,sports,3,4,3,4,3,4,3,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,3,4,3,4,3,4,2,4,4,4,3,4,3,3,4,3,3,3,3,4,4,3,3,1,2,1,4,5,5,4,3,3,3,3
P055,smoke,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,4,2,2,2,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,4,4,1,1,3,3,4,4,4,4,2,2,4,4
P056,smoke,1,1,2,1,1,2,4,2,1,3,4,1,2,2,3,3,4,1,3,3,3,3,3,3,1,1,2,2,1,1,3,2,1,3,4,2,1,1,2,1,1,1,2,1,1,1,4,2,2,2,2,3,1,1,2,2,4,4,3,3
P057,sports,2,4,2,3,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,4,2,3,2,4,4,2,3,3,2,2,4,4,4,4,4,4,3,3,3,4,3,3,4,2,1,2,2,1,4,3,4,4,2,2,2,3
P058,smoke,3,3,3,3,3,4,3,2,2,4,3,2,4,3,2,3,4,4,2,3,4,4,4,4,3,2,3,3,2,2,3,2,3,2,3,2,3,4,4,4,4,3,3,4,3,4,4,3,1,3,2,1,4,4,4,4,2,3,2,2
P059,vape,2,3,2,2,2,3,2,2,2,4,3,3,5,4,2,4,5,4,3,4,5,4,4,4,2,2,2,2,2,3,1,2,2,4,3,4,2,3,2,2,4,3,3,4,2,3,3,2,1,1,1,1,4,4,4,4,1,2,4,2
P060,sports,4,2,4,4,4,4,3,4,4,1,4,4,4,4,5,4,4,4,5,4,4,4,3,4,3,2,2,4,4,2,4,3,4,1,4,4,2,2,3,3,3,4,4,3,4,4,5,3,2,1,2,1,3,3,2,3,2,2,1,1
P061,sports,2,4,1,4,2,4,1,3,3,4,2,4,4,4,4,5,4,4,3,5,5,5,5,3,1,4,1,3,2,4,1,5,2,4,2,4,3,4,2,2,3,2,2,2,2,3,2,4,2,1,1,1,3,4,2,4,2,2,2,2
P062,sports,2,4,4,3,2,4,4,3,2,4,4,4,4,5,5,4,3,3,4,4,4,5,4,5,2,4,4,4,2,4,4,4,3,5,5,4,3,4,5,4,4,4,4,4,3,4,4,3,2,1,1,1,2,4,4,5,2,2,2,2
P064,sports,3,2,2,3,4,2,2,4,4,2,2,2,4,4,4,4,4,4,4,3,4,4,4,4,2,2,2,2,3,2,2,3,4,2,2,3,2,2,2,4,3,2,3,2,4,2,2,3,1,1,1,1,4,4,4,4,2,2,2,2
P065,sports,2,2,2,2,2,2,3,2,4,4,3,3,4,4,4,4,4,3,3,3,4,5,5,5,1,2,1,1,2,3,1,2,1,4,1,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,4,5,4,4,2,2,2,2
P066,smoke,5,4,4,4,3,3,1,4,5,3,2,4,5,4,3,5,4,4,3,4,5,5,4,5,5,4,2,4,4,4,2,3,4,3,2,3,3,3,2,5,5,1,2,2,4,4,3,5,1,1,1,1,4,5,4,5,1,1,2,1
P067,vape,1,4,2,2,2,3,1,3,2,5,1,4,4,1,3,1,1,1,3,1,3,1,4,1,1,1,2,2,2,3,1,4,2,3,1,2,1,5,1,2,3,5,3,2,3,4,4,4,2,3,1,2,4,1,4,4,5,5,2,5
P069,novape,2,2,2,2,3,3,2,3,4,4,4,4,4,5,3,2,4,5,2,1,5,5,4,3,2,2,2,2,3,3,2,3,4,4,4,4,4,4,4,4,2,2,2,1,4,4,4,4,1,2,3,3,4,4,4,4,2,1,4,5
P070,sports,1,1,3,4,1,1,2,5,2,1,5,5,5,2,5,5,4,2,5,5,4,1,5,5,1,1,2,5,1,1,3,4,1,1,5,5,2,1,1,4,5,4,5,5,2,1,3,5,2,3,1,1,5,2,5,5,2,4,2,1
P071,smoke,4,2,4,2,4,2,4,1,4,2,4,1,5,4,4,4,5,4,4,4,5,5,4,4,4,2,2,1,4,2,2,1,4,2,2,1,4,2,3,1,5,3,2,4,3,3,3,2,1,2,3,3,5,5,1,2,2,2,4,2
P072,sports,3,3,4,4,4,4,4,4,3,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,4,3,4,4,3,3,3,3,4,3,4,4,1,1,1,1,4,3,4,4,2,2,3,2
P073,novape,2,3,2,3,2,2,2,1,1,3,2,2,4,4,4,4,4,4,3,4,4,4,4,4,2,1,2,1,1,2,2,2,3,3,2,2,3,3,3,1,2,2,4,4,3,2,3,3,2,1,2,1,3,4,4,4,2,2,3,2
P074,smoke,2,1,2,2,2,1,3,3,1,1,3,3,4,3,4,2,4,3,4,2,5,3,4,3,1,1,1,2,2,1,2,2,2,1,2,2,2,1,3,2,2,2,2,2,1,1,4,3,2,3,3,3,2,2,3,2,2,3,3,3
P075,smoke,3,1,4,4,1,1,4,4,2,1,3,4,4,4,4,4,4,4,4,4,5,4,4,5,1,1,3,3,2,1,3,3,2,1,2,2,2,1,3,4,1,3,2,2,2,3,3,4,1,1,2,1,4,4,4,4,1,2,3,1
P076,novape,2,3,2,2,2,3,2,2,2,3,3,2,4,5,4,4,4,5,4,4,5,5,4,4,2,3,2,2,2,3,2,2,2,3,3,2,2,3,2,2,3,4,3,3,2,3,3,2,1,1,1,2,4,4,3,3,2,1,2,2
P077,smoke,2,2,2,2,2,2,4,2,2,2,4,2,5,4,4,4,5,4,4,4,4,4,4,3,2,2,2,2,2,4,4,2,2,4,4,2,2,2,3,2,4,2,2,2,2,2,4,2,2,2,3,3,4,4,4,2,2,2,2,2
P078,novape,1,2,4,2,2,3,2,1,2,2,2,1,4,4,5,5,5,4,5,2,5,4,5,5,2,2,3,2,3,2,3,1,2,3,4,1,3,2,3,2,4,5,2,2,4,4,4,2,1,1,1,1,4,4,5,4,3,3,1,3
P079,novape,2,1,2,1,2,2,1,2,2,2,1,2,4,2,4,3,4,2,4,3,4,3,4,4,2,2,1,1,2,2,1,2,2,2,1,2,2,2,1,2,4,4,4,4,2,2,1,2,2,3,3,3,4,2,3,2,2,5,2,4
P080,vape,2,2,2,2,2,3,2,2,2,3,2,3,3,4,4,2,2,3,4,2,3,4,4,3,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,4,2,2,3,3,3,3,3,3,2,1,3,2,3,3,2,3,3,2,4
P081,novape,2,2,2,2,2,2,2,2,2,2,2,2,4,4,3,3,4,3,4,3,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,2,2,2,2,2,4,2,3,3,3,3,3,4,4,2,2,2,3,4,4
P083,smoke,1,1,2,3,1,1,4,1,1,2,4,2,5,5,4,2,5,5,4,2,5,5,4,2,1,1,3,1,1,1,3,1,1,2,4,1,3,3,5,2,2,3,2,4,4,4,5,4,2,2,2,3,2,4,4,2,4,3,3,3
P085,smoke,2,1,2,3,1,1,1,1,1,1,3,1,5,5,5,5,4,5,5,5,5,5,5,5,2,2,2,2,1,1,2,1,1,1,2,2,2,1,1,3,5,2,2,2,2,1,2,2,1,1,1,1,5,5,5,4,1,1,1,1
P086,novape,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,3,5,1,1,1,1,1,1,3,1,1,1,3,1,1,1,3,1,1,5,5,5,4,1,3,1,1,3,3,3,3,5,5,5,5,5,5,5,5
P087,sports,2,2,2,4,4,2,2,2,4,2,2,4,4,4,4,4,4,3,4,4,4,3,4,3,2,2,2,2,2,2,2,2,4,2,4,4,3,2,3,3,3,4,2,3,4,2,3,2,2,2,2,3,2,2,2,4,2,2,2,2
P088,smoke,3,3,2,2,4,3,2,4,4,3,2,4,4,4,4,4,4,4,4,4,4,4,4,5,3,2,2,2,4,3,2,3,4,3,2,3,3,2,3,2,3,3,3,2,4,4,3,4,1,1,1,1,4,4,4,5,2,2,2,2
P089,novape,3,4,4,2,4,4,4,3,4,4,4,2,4,5,4,5,3,5,4,5,5,5,4,5,3,4,4,2,4,4,4,3,3,4,3,2,2,4,4,2,4,5,2,2,5,4,4,3,1,1,1,1,4,5,3,4,2,1,3,2
P091,sports,1,3,1,2,1,3,2,2,1,4,2,2,5,5,4,5,3,3,3,3,4,4,2,4,1,3,1,2,1,3,3,4,1,4,1,4,1,4,2,4,4,4,4,4,2,4,2,4,3,2,2,2,5,5,5,5,4,1,3,1
P092,smoke,1,1,4,2,4,4,4,4,2,4,5,4,5,5,2,2,5,5,1,4,4,4,2,4,2,2,2,2,4,2,4,2,1,1,2,2,4,4,4,4,4,5,2,1,4,4,4,5,1,1,3,3,4,5,2,4,1,2,4,1
P093,vape,1,1,1,1,1,2,1,1,2,1,1,1,4,4,4,1,3,3,4,1,4,4,2,2,1,1,1,1,1,1,1,1,5,1,1,1,2,1,1,1,4,4,1,2,2,2,1,1,3,3,3,3,4,5,2,1,2,4,5,5
P094,vape,2,2,4,1,1,3,4,1,4,4,4,4,2,4,5,2,2,4,4,2,2,2,3,1,1,1,3,1,1,1,3,1,2,1,4,2,3,4,3,3,5,5,2,1,3,3,4,4,2,3,2,3,5,2,4,2,5,4,1,4
P095,novape,1,1,1,1,2,1,1,1,4,3,4,3,3,5,5,1,2,3,5,1,3,4,4,3,1,1,1,1,2,1,1,1,3,2,2,2,1,1,1,1,4,5,2,4,2,2,1,2,3,3,3,3,4,4,4,1,4,2,2,5
P096,novape,3,3,2,2,2,3,3,2,2,2,2,3,4,4,4,4,3,3,3,3,4,4,4,4,3,2,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,4,2,4,3,2,4,4,2,1,1,1,3,4,4,4,2,2,3,4
P097,sports,4,4,4,4,4,4,4,5,4,4,5,5,4,5,4,5,4,5,4,4,5,5,5,5,2,1,2,3,3,2,3,4,3,4,3,4,4,3,2,4,5,5,5,5,4,4,4,5,1,1,1,1,4,4,4,5,2,2,2,1
P098,sports,3,3,2,2,4,4,4,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,3,2,2,4,4,4,4,4,4,2,2,2,2,2,4,4,3,1,1,1,1,4,4,4,4,2,2,2,2
P099,smoke,2,2,4,2,1,2,2,2,1,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,1,2,2,2,1,2,2,2,1,2,4,2,1,2,4,4,1,1,1,1,1,2,4,3,1,1,2,2,2,2,4,2,3,3,2,2
P100,vape,3,2,3,3,3,3,2,3,3,2,2,2,4,4,2,1,4,3,2,2,4,4,2,2,2,2,2,2,2,3,2,2,2,3,2,2,3,3,3,3,4,3,2,4,3,4,3,3,3,3,3,3,4,2,4,2,2,3,4,5
P101,sports,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,2,5,3,3,2,5,3,3,2,5,4,4,4,4,3,3,3,3,5,4,4,4,2,2,2,2,4,4,4,5,1,1,2,1
P102,sports,2,4,4,4,4,4,4,4,2,4,4,4,4,4,4,5,5,3,2,4,4,4,5,4,2,2,1,4,2,3,2,5,3,4,2,4,4,4,2,4,3,4,2,4,3,5,4,4,3,2,3,1,3,4,4,5,2,1,2,1
P104,novape,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,4,2,4,2,2,4,4,4,4,2,2,2,2,3,2,2,2,2,2,3,2,4,4,4,4,4,2,4,2,4,4,4,4,3,3,3,3,4,2,2,2,2,2,4,3
P108,vape,4,4,4,4,4,4,4,3,4,4,4,4,4,4,5,1,4,3,5,3,4,4,5,4,2,2,3,3,3,2,3,2,4,2,3,4,3,3,4,3,3,3,4,3,4,4,3,5,1,2,1,2,4,4,4,4,2,2,2,2
P109,sports,2,3,2,2,2,4,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,3,2,4,2,3,2,4,2,3,2,4,2,1,4,3,2,3,2,3,1,1,1,1,2,4,4,4,3,3,2,1
