id,cigaretterelated_smoke1_count,cigaretterelated_smoke1_mean,cigaretterelated_smoke1_sum,cigaretterelated_smoke2_count,cigaretterelated_smoke2_mean,cigaretterelated_smoke2_sum,cigaretterelated_smoke3_count,cigaretterelated_smoke3_mean,cigaretterelated_smoke3_sum,cigarette_smoke1_count,cigarette_smoke1_mean,cigarette_smoke1_sum,cigarette_smoke2_count,cigarette_smoke2_mean,cigarette_smoke2_sum,cigarette_smoke3_count,cigarette_smoke3_mean,cigarette_smoke3_sum,cigarette_smoke4_count,cigarette_smoke4_mean,cigarette_smoke4_sum,ecigarette_vape1_count,ecigarette_vape1_mean,ecigarette_vape1_sum,ecigarette_vape2_count,ecigarette_vape2_mean,ecigarette_vape2_sum,ecigarette_vape3_count,ecigarette_vape3_mean,ecigarette_vape3_sum,ecigarette_vape4_count,ecigarette_vape4_mean,ecigarette_vape4_sum,ecigarette_novape1_count,ecigarette_novape1_mean,ecigarette_novape1_sum,ecigarette_novape2_count,ecigarette_novape2_mean,ecigarette_novape2_sum,ecigarette_novape3_count,ecigarette_novape3_mean,ecigarette_novape3_sum,ecigarette_novape4_count,ecigarette_novape4_mean,ecigarette_novape4_sum,ecigaretterelated_vape1_count,ecigaretterelated_vape1_mean,ecigaretterelated_vape1_sum,ecigaretterelated_vape2_count,ecigaretterelated_vape2_mean,ecigaretterelated_vape2_sum,ecigaretterelated_vape3_count,ecigaretterelated_vape3_mean,ecigaretterelated_vape3_sum,ecigaretterelated_vape4_count,ecigaretterelated_vape4_mean,ecigaretterelated_vape4_sum,ecigaretterelated_novape1_count,ecigaretterelated_novape1_mean,ecigaretterelated_novape1_sum,ecigaretterelated_novape2_count,ecigaretterelated_novape2_mean,ecigaretterelated_novape2_sum,ecigaretterelated_novape3_count,ecigaretterelated_novape3_mean,ecigaretterelated_novape3_sum,ecigaretterelated_novape4_count,ecigaretterelated_novape4_mean,ecigaretterelated_novape4_sum,handobject_vape1_count,handobject_vape1_mean,handobject_vape1_sum,handobject_vape2_count,handobject_vape2_mean,handobject_vape2_sum,handobject_vape3_count,handobject_vape3_mean,handobject_vape3_sum,handobject_vape4_count,handobject_vape4_mean,handobject_vape4_sum,handobject_novape1_count,handobject_novape1_mean,handobject_novape1_sum,handobject_novape2_count,handobject_novape2_mean,handobject_novape2_sum,handobject_novape3_count,handobject_novape3_mean,handobject_novape3_sum,handobject_novape4_count,handobject_novape4_mean,handobject_novape4_sum,handobject_sports1_count,handobject_sports1_mean,handobject_sports1_sum,handobject_sports2_count,handobject_sports2_mean,handobject_sports2_sum,handobject_sports3_count,handobject_sports3_mean,handobject_sports3_sum,handobject_sports4_count,handobject_sports4_mean,handobject_sports4_sum,handobject_smoke1_count,handobject_smoke1_mean,handobject_smoke1_sum,handobject_smoke2_count,handobject_smoke2_mean,handobject_smoke2_sum,handobject_smoke3_count,handobject_smoke3_mean,handobject_smoke3_sum,handobject_smoke4_count,handobject_smoke4_mean,handobject_smoke4_sum,nonuserface_vape1_count,nonuserface_vape1_mean,nonuserface_vape1_sum,nonuserface_vape2_count,nonuserface_vape2_mean,nonuserface_vape2_sum,nonuserface_vape3_count,nonuserface_vape3_mean,nonuserface_vape3_sum,nonuserface_vape4_count,nonuserface_vape4_mean,nonuserface_vape4_sum,nonuserface_novape1_count,nonuserface_novape1_mean,nonuserface_novape1_sum,nonuserface_novape2_count,nonuserface_novape2_mean,nonuserface_novape2_sum,nonuserface_novape3_count,nonuserface_novape3_mean,nonuserface_novape3_sum,nonuserface_novape4_count,nonuserface_novape4_mean,nonuserface_novape4_sum,nonuserface_sports1_count,nonuserface_sports1_mean,nonuserface_sports1_sum,nonuserface_sports2_count,nonuserface_sports2_mean,nonuserface_sports2_sum,nonuserface_sports3_count,nonuserface_sports3_mean,nonuserface_sports3_sum,nonuserface_sports4_count,nonuserface_sports4_mean,nonuserface_sports4_sum,nonuserface_smoke1_count,nonuserface_smoke1_mean,nonuserface_smoke1_sum,nonuserface_smoke2_count,nonuserface_smoke2_mean,nonuserface_smoke2_sum,nonuserface_smoke4_count,nonuserface_smoke4_mean,nonuserface_smoke4_sum,smoke_smoke1_count,smoke_smoke1_mean,smoke_smoke1_sum,smoke_smoke2_count,smoke_smoke2_mean,smoke_smoke2_sum,smoke_smoke3_count,smoke_smoke3_mean,smoke_smoke3_sum,smoke_smoke4_count,smoke_smoke4_mean,smoke_smoke4_sum,smokerface_smoke1_count,smokerface_smoke1_mean,smokerface_smoke1_sum,smokerface_smoke2_count,smokerface_smoke2_mean,smokerface_smoke2_sum,smokerface_smoke3_count,smokerface_smoke3_mean,smokerface_smoke3_sum,smokerface_smoke4_count,smokerface_smoke4_mean,smokerface_smoke4_sum,text_vape1_count,text_vape1_mean,text_vape1_sum,text_vape2_count,text_vape2_mean,text_vape2_sum,text_vape3_count,text_vape3_mean,text_vape3_sum,text_vape4_count,text_vape4_mean,text_vape4_sum,text_novape1_count,text_novape1_mean,text_novape1_sum,text_novape2_count,text_novape2_mean,text_novape2_sum,text_novape3_count,text_novape3_mean,text_novape3_sum,text_novape4_count,text_novape4_mean,text_novape4_sum,text_sports1_count,text_sports1_mean,text_sports1_sum,text_sports2_count,text_sports2_mean,text_sports2_sum,text_sports3_count,text_sports3_mean,text_sports3_sum,text_smoke1_count,text_smoke1_mean,text_smoke1_sum,text_smoke2_count,text_smoke2_mean,text_smoke2_sum,text_smoke3_count,text_smoke3_mean,text_smoke3_sum,text_smoke4_count,text_smoke4_mean,text_smoke4_sum,vapor_vape1_count,vapor_vape1_mean,vapor_vape1_sum,vapor_vape2_count,vapor_vape2_mean,vapor_vape2_sum,vapor_vape3_count,vapor_vape3_mean,vapor_vape3_sum,vapor_vape4_count,vapor_vape4_mean,vapor_vape4_sum,vaperface_vape1_count,vaperface_vape1_mean,vaperface_vape1_sum,vaperface_vape2_count,vaperface_vape2_mean,vaperface_vape2_sum,vaperface_vape3_count,vaperface_vape3_mean,vaperface_vape3_sum,vaperface_vape4_count,vaperface_vape4_mean,vaperface_vape4_sum,vaperface_novape1_count,vaperface_novape1_mean,vaperface_novape1_sum,vaperface_novape2_count,vaperface_novape2_mean,vaperface_novape2_sum,vaperface_novape3_count,vaperface_novape3_mean,vaperface_novape3_sum,vaperface_novape4_count,vaperface_novape4_mean,vaperface_novape4_sum
P012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.09,2.18,13,0.29,3.76,8,0.27,2.14,3,0.67,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0.31,1,0.62,0.62,2,1.22,2.44,2,0.74,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.31,2.75,7,0.69,4.86,5,1.4,7.02,3,0.83,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.53,3.07,3,0.51,1.53,6,0.5,2.98,6,0.43,2.58,3,0.67,2.02,1,0.68,0.68,4,0.47,1.89,6,0.45,2.7,0,0,0,0,0,0,0,0,0,0,0,0
P013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.32,2.27,12,0.29,3.51,6,0.48,2.86,10,0.37,3.67,0,0,0,0,0,0,0,0,0,0,0,0,2,0.21,0.41,1,0.29,0.29,0,0,0,1,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.25,1,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.27,0.27,3,0.51,1.54,1,1.64,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.28,6.42,6,0.73,4.38,7,0.96,6.73,2,1.54,3.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.75,3.76,0,0,0,2,0.18,0.37,7,0.32,2.23
P014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.11,0.55,14,0.19,2.64,5,0.23,1.14,5,0.43,2.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0.07,1,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.31,0.31,3,0.41,1.24,2,1.12,2.24,2,0.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.41,3.3,10,0.46,4.56,17,0.27,4.66,1,0.59,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.58,2.89,6,0.2,1.23,5,0.48,2.4,10,0.3,2.95
P015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.08,1.21,7,0.06,0.45,1,0.04,0.04,4,0.13,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.22,4.37,26,0.34,8.89,21,0.34,7.07,31,0.29,8.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.49,3.88,1,1.83,1.83,13,0.56,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.18,0.36,16,0.24,3.86,12,0.18,2.19,6,0.41,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.09,1.09,2,0.22,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.24,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.39,0.39,1,0.41,0.41,2,0.71,1.43,2,0.92,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.76,4.54,7,0.77,5.37,6,1.12,6.71,1,2.71,2.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.67,2.02,5,0.42,2.11,5,0.55,2.74,6,0.61,3.67,3,0.45,1.35,5,0.37,1.85,5,0.38,1.88,11,0.42,4.64,0,0,0,0,0,0,0,0,0,0,0,0
P017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.3,1.52,12,0.36,4.37,13,0.28,3.7,7,0.31,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.14,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.31,0.62,3,1,3,2,1.01,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.71,6.85,4,1.13,4.53,3,2.52,7.57,1,3.37,3.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.97,2.91,8,0.22,1.79,4,0.23,0.92,8,0.21,1.71
P018,0,0,0,0,0,0,2,2.75,5.5,1,0,0,1,0.3,0.3,3,0.19,0.58,1,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0.13,5,0.13,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1.46,16.08,11,1.18,13.01,2,1.04,2.08,3,0.47,1.4,0,0,0,6,0.32,1.92,11,0.51,5.57,4,0.48,1.9,2,1.19,2.38,14,0.57,8.01,16,1.16,18.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.53,2.12,7,0.44,3.07,4,1.31,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.21,0.21,11,0.23,2.48,8,0.42,3.33,5,0.22,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0.07,0,0,0,1,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S4+BS3:DN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.36,0.72,1,0.69,0.69,3,0.92,2.75,2,0.83,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.79,4.72,6,0.75,4.48,4,1.53,6.12,3,0.8,2.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.22,2.43,3,0.85,2.54,3,1.21,3.64,5,0.68,3.38,2,0.97,1.94,3,0.52,1.56,3,0.44,1.33,6,0.62,3.69,0,0,0,0,0,0,0,0,0,0,0,0
P020,4,0.2,0.79,2,0.35,0.7,3,2.02,6.06,0,0,0,0,0,0,2,0.24,0.48,3,0.16,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.57,0.57,1,0.23,0.23,2,0.12,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1.35,10.78,8,1.67,13.37,1,0.34,0.34,5,0.21,1.03,0,0,0,4,0.27,1.06,9,0.61,5.49,1,0.48,0.48,5,0.36,1.81,11,0.65,7.12,15,0.73,10.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.74,2.21,5,1.02,5.1,4,1.11,4.46,1,1.4,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.26,0.77,9,0.01,0.09,0,0,0,1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.06,0.72,6,0.24,1.43,18,0.19,3.51,13,0.2,2.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.43,3.83,16,0.18,2.84,9,0.34,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.06,0.19,14,0.26,3.69,11,0.16,1.78,4,0.27,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.29,0.88,0,0,0,1,0.09,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.46,1.37,1,1.27,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.34,4.13,7,0.72,5.07,7,1.02,7.12,1,3.35,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.77,1.53,3,0.67,2.01,6,0.47,2.83,6,0.47,2.81,4,0.26,1.02,2,0.24,0.49,4,0.31,1.23,5,0.45,2.27,0,0,0,0,0,0,0,0,0,0,0,0
P024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.33,2.66,13,0.36,4.63,5,0.27,1.35,6,0.48,2.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.15,0.45,4,0.37,1.48,2,0.67,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.12,5.62,7,0.7,4.89,4,1.79,7.17,1,0.78,0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.85,1.7,2,0.22,0.44,3,0.31,0.92,2,0.26,0.53
P025,1,0.26,0.26,1,0.23,0.23,4,1.65,6.61,5,0.14,0.72,1,0.04,0.04,5,0.23,1.14,2,0.36,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.13,0.27,0,0,0,5,0.04,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.71,12.05,7,1.9,13.28,3,0.89,2.66,4,0.3,1.2,1,0.08,0.08,8,0.23,1.84,12,0.44,5.3,5,0.32,1.62,5,0.53,2.65,11,0.75,8.27,13,0.85,10.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.29,2.05,5,1.08,5.39,3,1.41,4.22,3,0.59,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.18,1.24,3,0.02,0.06,0,0,0,3,0.06,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.29,4.08,23,0.42,9.6,15,0.47,7.05,21,0.49,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.84,5.88,5,0.52,2.6,9,1.07,9.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.39,1.56,14,0.28,3.94,3,0.41,1.22,8,0.34,2.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0,1,0.36,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.75,2.25,2,0.99,1.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.42,4.2,6,0.71,4.28,3,2.03,6.09,1,2.48,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.94,1.89,1,1.04,1.04,5,0.36,1.79,4,0.64,2.58,3,0.73,2.19,3,0.73,2.2,3,0.41,1.23,6,0.43,2.58,0,0,0,0,0,0,0,0,0,0,0,0
P028,1,0.09,0.09,0,0,0,3,1.94,5.82,1,0.01,0.01,0,0,0,3,0.13,0.39,1,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0.2,4,0.06,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.07,16.02,7,2.23,15.59,5,0.34,1.71,4,0.28,1.12,0,0,0,8,0.24,1.95,17,0.4,6.74,4,0.25,1.01,8,0.58,4.65,14,0.69,9.6,20,0.54,10.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.24,1.18,6,0.52,3.12,7,0.7,4.9,4,0.51,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.88,1.77,8,0.25,1.97,4,0.34,1.37,3,0.82,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.12,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.22,0.22,1,0.76,0.76,3,0.92,2.75,3,0.84,2.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.26,2.87,8,0.4,3.18,5,1.31,6.55,2,1.55,3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.39,2.78,3,0.44,1.32,5,0.32,1.59,5,0.3,1.5,4,0.74,2.94,5,0.4,2.01,4,0.51,2.05,5,0.49,2.44,0,0,0,0,0,0,0,0,0,0,0,0
